profession;88;87;86;85;84;83;82;81;80;79;78;77;76;75;74;73;72;71;70;69;68;67;66;65;64;63;62;61;60;59;58;57;56;55;54;53;52;51;50;49;48;47;46;45;44;43;42;41;40;39;38;37;36;35;34;33;32;31;30;29;28;27;26;25;24;23;22;21
nurse;1;7;2;8;11;20;27;53;78;127;160;193;273;285;373;425;905;1114;1568;1850;2067;2692;4171;3686;4301;5013;5488;6227;7521;8137;8101;7751;7810;7672;8462;8304;7975;7972;8626;9064;8854;8669;7795;7143;7404;9022;6569;3337;2019;1643;1365;1351;1654;1791;1588;1614;2068;1972;1711;1471;1520;1505;1663;1489;1509;1372;720;14
midwife;0;0;3;1;5;2;4;7;5;27;29;18;35;46;43;47;118;150;188;184;218;316;305;397;425;457;544;692;847;947;886;985;951;919;1011;1108;1157;1120;1037;901;828;958;724;612;583;609;605;524;407;347;187;209;270;271;263;264;331;352;331;337;410;374;393;416;383;282;144;3
