,max2014,max2015,max2016,max2017,max2018,max2019
Katowice,0,0.0132523175,0.6162327637,1.093316194,7.027041354,3.568186487
Ravenna,0,0.1005562015,3.22408321,4.788989096,6.05851114,6.768689313
Graz,0,0.03703744856,2.081504609,2.992625844,3.837079671,3.974118231
Eindhoven,0,0.07061595698,1.995829942,2.612790408,3.816978306,3.976793367
Kharkiv,0,0.02779638591,0.5670462726,0.6386219664,0.714367118,0.7421635039
Trondheim,0,0.0500857022,3.160964317,5.231173341,5.437081228,5.904547782
Bergamo,0,0.181933958,5.333972859,7.401404199,8.459929046,8.765908884
Newcastle upon Tyne,0,0.05033236136,1.573725165,2.056915834,2.808545764,3.493065878
Gijon/Xixon,0,0.05150031452,1.990119297,3.009089806,3.454199667,3.82573765
Bremen,0,0.02640817174,1.257028975,1.558082133,1.760544783,1.811600582
Murcia,0,0.03801584142,1.051026204,1.706240412,2.171375413,2.294367841
Pamplona/Iruna,0,0.04018767645,4.244823325,5.530828971,5.234444857,5.123928747
Cheltenham,0,0.1707810672,5.883407765,8.573209574,10.79336345,8.530514307
Stavanger,0,0.1935119319,7.067055755,7.856584437,9.32727512,7.554705823
Kosice,0,0.01661902546,0.7063085821,1.071927142,2.29758027,5.139433624
Bonn,0.5714461274,1.182832038,1.852591477,4.273556791,3.047712679,2.645242557
Saint-Etienne,0,1.402264244,5.495638546,4.098529685,4.175860433,4.351143464
Kassel,0,0.05978000956,2.281603698,8.483779691,4.403794038,3.721305595
